ID,Author,Comment
166,@faloperosdecentes3924,ya está en canadá
167,@PavlvsArobvs636,ahora va a poder escoger nuevos novios en prisión
168,@JonathanNunezUy,zumos una familia feliz
169,@gonzalos5713,muy bueno que vayan presos pero  días quiero creer que es la preventiva hasta tener una sentencia
170,@domogeodesico,penadiópenadéspenadápenadiez
171,@erikfrndz7477,meses y pafuera este pa la campaña esta son tan caretas
172,@danielmederostabeira5708,por lo menos si va en cana ya sabemos quienes son los amigotes que lo van a visitar y en cualquier momento todos lo acompañan aunque ahora todos le van a disparar
173,@diegomontero6836,no entiendo algo solo  dias de cárcel o falta alguna condena
174,@esteban6580,no mataron a uno que iba a declarar tambien
175,@YuyoLeites-it2vq,va a terminar con una simple prision domicilaria nada mas que politico ha ido a la carcel ninguno
176,@user-ij7eh3mc4y,martes negro para el gobierno más corrupto de la historia y un día aciago para la democracia y el pueblo
177,@mariososa8578,grande zeta
178,@damianarbelo,capaz que estoy mal yo pero  dias de prisión no es poco para todo lo que supuestamente hizo
179,@danieldearrascaetanunez9626,zin tv este video es un avant premier en relación a todo lo que sucedió
180,@two13times,treinta años en el parlamento y nunca nadie se dio cuenta de ninguna de las atrocidades que cometió
181,@lauraramilo4568,siempre hay que mirar la mitad del vaso lleno ahora gustavito no va a pagar le van a dar pa que tenga y guarde a no ser que vaya a un lugar vip que tampoco me extrañaría
182,@michaelreyes5923,y este señor tambien acabara en un  estrellas por prision
183,@malabartistacreaciones7176,ojalá se cumpla la prisión para éste pervertido estos señores gozan de privilegios no es un pela gato cualquiera no es juan pueblo si no me equivoco con los señores del caso oceano nunca pasó nada por qué porque esta toda la cupula de poder del estado involucrada y nunca les van a tocar un pelo pero bue son episodios
184,@gonzaloacostasaravia7388,ojo con eso
185,@JonathanNunezUy,me pueden hacer la suma de delitos
186,@matiasartidoro6432,pre sos
187,@fuerzalibre2070,esa gente son líderes de nuestra soberanía nananaan
188,@claudiohernandez4568,el presidente ya pidió permiso al parlamento para viajar a estados unidos costumbre de borrarse cuando se incendia el rancho
189,@Veronica-qr4xt,victor jara presente
190,@ml2082,presos todos
191,@Jorge-sd1dq,the banana republic of uruguay
192,@nataliasilvera2994,siniestro
193,@rc137rc5,que desastre otra vez en el podio
194,@JorgeMartinez-tc9rj,completito gustavo escuchar el respaldo del presidente y del ministro del interior lamentable
195,@pablotanito6394,si hay pelitoeso dijo el pistolita loca
196,@wgem5398,días por todos esos delitos de abusos le sale regalado cuando a cualquier ladrón de porquerías le dan un año mínimo o sea  días justicia injusta
197,@eduardorolan7255,buenazo
198,@rodrigomoreno907,che son un canalazo pero como sugerencia constructiva a veces la duermen un poco de mas con los arranques del video con carlitos techera y el otro boludo sacando el auto
199,@maurofernandez5175,penades pidio estar preso en el inisa
200,@albaarias8720,bueno hablo la justicia y yo creo en la justicia de mi pais estos episodios no deberían suceder no hacen más qué debilitar la democrático a otra cosa bobrecito penades está enfermito quiere pricion domiciliaria qué tipo tan caradura
201,@JoseRodriguez19866,penadas
202,@gustavosalvatierra6511,heber lo seguirá apoyando
203,@aleeejo69,días es una joda  delitos
204,@EpicExdeath,las nubes pasan el azul queda deberían renunciar todos después de esto pero que van a renunciar si están atornillados a la silla desde hace generaciones
205,@marcelosustant1142,heber la difamación llego a su fin
206,@fervall2878,exelente la fiscal
207,@maxioficialyt5545,los mejores  años de tu vida qué horroro habrán querido decir los peores  años de tu vida
208,@gracielagonez4260,ripoll casas y victoria defendiendo lo indefendible
209,@JorgeRodriguez-ie5xb,qué sigue queda bastante tiempo aún
210,@danielarossi943,tremendo por suerte no zafó a pesar del respaldo abuso violencia corrupción acomodo etc no le falta nada a este gobierno que se vayan ya que daño le hicieron al país el campechano el transparente lacalle
211,@enmiscarrozass4654,por que no le dan perpetua hay que hacer una marcha
212,@Leo-ng2bh,el último que cierre la puerta jajajajjs
213,@rocamar9632,días por semejantes abusos
214,@Martinfuertes79,chantas mafiosos corruptos violines q mas
215,@TheJhonjhonson,quién dijo ahhhh
216,@AlbertoRodriguez-in2hd,vamos a ver si se recupera y no vuelve a reincidir en su conducta de violador
217,@alvaroperez9794,pocas ganas de laborar zintv  min nomás para el hecho más importante de los últimos años
218,@hectortozini2913,no salio la sentencia y udsya lo encarcelantienen una mala leche imcomparable
219,@4cuerdasjmp958violin,deded de delictivas obvio
220,@sebastianmato1137,corrupcion total
221,@omargarcia7598,que frota techera entre dedos
222,@diegomontero6836,estaba esperando esto
223,@marcelonapoli8215,pre sos cómo porqué
